Contacts	TotalForwards
100	5
200	27
300	77
400	175
500	292
600	435
700	632
800	814
900	1026
1000	1214
1100	1431
1200	1616
1300	1849
1400	2058
1500	2251
1600	2525
1700	2763
1800	2990
1900	3224
2000	3476
2100	3672
2200	3894
2300	4104
2400	4305
2500	4547
2600	4783
2700	4992
2800	5193
2900	5423
3000	5681
3100	5951
3200	6228
3300	6491
3400	6773
3500	7040
3600	7334
3700	7717
3800	8005
3900	8388
4000	8734
4100	9108
4200	9435
4300	9849
4400	10134
4500	10468
4600	10794
4700	11106
4800	11413
4900	11720
5000	12020
5100	12304
5200	12596
5300	12892
5400	13139
5500	13464
5600	13769
5700	14100
5800	14373
5900	14650
6000	14993
6100	15298
6200	15596
6300	15895
6400	16241
6500	16577
6600	16954
6700	17359
6800	17642
6900	17921
7000	18202
7100	18514
7200	18939
7300	19199
7400	19484
7500	19792
7600	20133
7700	20459
7800	20774
7900	21110
8000	21380
8100	21660
8200	21984
8300	22321
8400	22651
8500	23049
8600	23301
8700	23616
8800	23967
8900	24356
9000	24655
9100	24932
9200	25251
9300	25573
9400	25973
9500	26302
9600	26631
9700	26966
9800	27351
9900	27651
10000	27910
10100	28234
10200	28535
10300	28847
10400	29103
10500	29357
10600	29632
10700	29962
10800	30257
10900	30597
11000	30951
11100	31281
11200	31625
11300	31960
11400	32297
11500	32677
11600	32977
11700	33288
11800	33597
11900	33959
12000	34309
12100	34650
12200	34922
12300	35229
12400	35555
12500	35993
12600	36352
12700	36682
12800	36983
12900	37323
13000	37704
13100	38017
13200	38370
13300	38760
13400	39122
13500	39492
13600	39807
13700	40130
13800	40498
13900	40854
14000	41187
14100	41451
14200	41751
14300	42122
14400	42447
14500	42734
14600	43046
14700	43339
14800	43643
14900	44040
15000	44358
15100	44663
15200	45053
15300	45370
15400	45709
15500	46065
15600	46436
15700	46745
15800	47066
15900	47399
16000	47735
16100	48007
16200	48311
16300	48591
16400	48942
16500	49285
16600	49671
16700	49969
16800	50303
16900	50717
17000	51007
17100	51338
17200	51739
17300	52094
17400	52425
17500	52719
17600	53084
17700	53394
17800	53732
17900	54095
18000	54436
18100	54756
18200	55113
18300	55465
18400	55835
18500	56176
18600	56513
18700	56824
18800	57160
18900	57482
19000	57844
19100	58161
19200	58477
19300	58808
19400	59171
19500	59609
19600	59904
19700	60165
19800	60567
19900	60909
20000	61298
20100	61681
20200	62036
20300	62346
20400	62624
20500	63003
20600	63318
20700	63628
20800	63901
20900	64280
21000	64542
21100	64881
21200	65208
21300	65534
21400	65884
21500	66199
21600	66513
21700	66837
21800	67239
21900	67572
22000	67936
22100	68260
22200	68627
22300	68974
22400	69266
22500	69531
22600	69775
22700	70115
22800	70439
22900	70821
23000	71123
23100	71466
23200	71831
23300	72185
23400	72491
23500	72786
23600	73118
23700	73469
23800	73798
23900	74101
24000	74402
24100	74726
24200	75091
24300	75361
24400	75706
24500	76071
24600	76406
24700	76729
24800	77028
24900	77326
25000	77708
25100	78016
25200	78328
25300	78653
25400	79020
25500	79461
25600	79858
25700	80142
25800	80458
25900	80849
26000	81257
26100	81503
26200	81793
26300	82089
26400	82443
26500	82765
26600	83116
26700	83460
26800	83796
26900	84089
27000	84408
27100	84792
27200	85039
27300	85364
27400	85701
27500	86132
27600	86468
27700	86884
27800	87256
27900	87657
28000	88032
28100	88352
28200	88724
28300	89000
28400	89300
28500	89729
28600	90080
28700	90450
28800	90753
28900	91114
29000	91452
29100	91793
29200	92111
29300	92522
29400	92873
29500	93171
29600	93497
29700	93851
29800	94194
29900	94547
30000	94883
30100	95182
30200	95520
30300	95811
30400	96117
30500	96510
30600	96830
30700	97116
30800	97439
30900	97773
31000	98097
31100	98422
31200	98737
31300	99071
31400	99455
31500	99799
31600	100123
31700	100452
31800	100748
31900	101059
32000	101411
32100	101781
32200	102085
32300	102408
32400	102738
32500	103089
32600	103437
32700	103737
32800	104027
32900	104404
33000	104722
33100	105029
33200	105329
33300	105635
33400	105944
33500	106280
33600	106673
33700	107074
33800	107359
33900	107730
34000	108027
34100	108370
34200	108668
34300	108989
34400	109329
34500	109640
34600	109932
