Contact	AvgLatency
25600	NaN
51200	1376.3000
4100	259.0000
29700	NaN
55300	NaN
8200	829.4500
33800	NaN
12300	626.4000
37900	NaN
16400	NaN
42000	645.6000
20500	NaN
46100	NaN
24600	NaN
50200	NaN
3100	251.4000
28700	1171.2000
54300	NaN
7200	NaN
32800	NaN
58400	683.6000
11300	1277.2000
36900	NaN
15400	781.0000
41000	569.2000
19500	NaN
45100	NaN
23600	NaN
49200	NaN
2100	367.4000
27700	NaN
53300	NaN
6200	1412.3000
31800	1148.4000
57400	NaN
10300	644.8000
35900	NaN
14400	NaN
40000	8274.3000
18500	NaN
44100	NaN
22600	NaN
48200	NaN
1100	NaN
26700	NaN
52300	NaN
5200	373.4500
30800	3819.9000
56400	1318.7000
9300	NaN
34900	NaN
13400	NaN
39000	NaN
17500	NaN
43100	NaN
21600	NaN
47200	5122.6000
100	NaN
25700	NaN
51300	NaN
4200	NaN
29800	NaN
55400	8081.1000
8300	NaN
33900	NaN
12400	NaN
38000	NaN
16500	1488.0000
42100	NaN
20600	NaN
46200	NaN
24700	NaN
50300	827.8000
3200	457.6000
28800	NaN
54400	NaN
7300	NaN
32900	704.0500
58500	806.7000
11400	NaN
37000	NaN
15500	NaN
41100	694.7000
19600	NaN
45200	NaN
23700	NaN
49300	NaN
2200	188.6000
27800	NaN
53400	4089.4000
6300	1613.6000
31900	NaN
57500	3774.6000
10400	677.7000
36000	NaN
14500	NaN
40100	3497.2000
18600	NaN
44200	2902.2000
22700	NaN
48300	NaN
1200	NaN
26800	1052.1000
52400	NaN
5300	521.3000
30900	2908.9000
56500	NaN
9400	NaN
35000	NaN
13500	457.8000
39100	NaN
17600	NaN
43200	2092.4000
21700	1968.4000
47300	1004.2000
200	NaN
25800	1300.2000
51400	NaN
4300	592.2000
29900	2052.7000
55500	NaN
8400	251.5500
34000	NaN
12500	NaN
38100	NaN
16600	NaN
42200	769.1000
20700	NaN
46300	NaN
24800	NaN
50400	849.7000
3300	455.5500
28900	NaN
54500	NaN
7400	589.9000
33000	NaN
58600	NaN
11500	341.4000
37100	NaN
15600	878.8000
41200	NaN
19700	1640.9667
45300	NaN
23800	13.8000
49400	NaN
2300	205.9000
27900	528.4000
53500	NaN
6400	NaN
32000	2282.8000
57600	NaN
10500	3509.6000
36100	NaN
14600	NaN
40200	NaN
18700	NaN
44300	NaN
22800	NaN
48400	345.6000
1300	251.4000
26900	NaN
52500	NaN
5400	1239.7000
31000	2331.0000
56600	NaN
9500	1484.7000
35100	NaN
13600	NaN
39200	4135.8000
17700	NaN
43300	1933.7500
21800	NaN
47400	NaN
300	NaN
25900	354.7000
51500	NaN
4400	799.8000
30000	NaN
55600	1005.6500
8500	696.9333
34100	NaN
12600	1030.5000
38200	2026.4000
16700	817.9000
42300	NaN
20800	2347.5000
46400	NaN
24900	NaN
50500	5493.5000
3400	NaN
29000	NaN
54600	371.1000
7500	NaN
33100	753.6000
58700	NaN
11600	NaN
37200	NaN
15700	NaN
41300	NaN
19800	470.2000
45400	1702.4000
23900	NaN
49500	NaN
2400	200.1000
28000	NaN
53600	NaN
6500	NaN
32100	NaN
57700	NaN
10600	886.3000
36200	4653.2000
14700	NaN
40300	NaN
18800	NaN
44400	NaN
22900	565.6000
48500	NaN
1400	125.5000
27000	3484.5000
52600	3473.5000
5500	1350.8000
31100	657.0000
56700	NaN
9600	NaN
35200	3416.7000
13700	NaN
39300	714.6000
17800	NaN
43400	NaN
21900	NaN
47500	1076.6000
400	230.7000
26000	NaN
51600	NaN
4500	939.7500
30100	NaN
55700	8230.1500
8600	NaN
34200	NaN
12700	1002.2000
38300	NaN
16800	NaN
42400	NaN
20900	NaN
46500	NaN
25000	1264.0667
50600	NaN
3500	NaN
29100	3801.8000
54700	316.6000
7600	994.7333
33200	NaN
58800	1112.2000
11700	1534.6000
37300	NaN
15800	NaN
41400	NaN
19900	632.3000
45500	NaN
24000	119.0000
49600	4724.5000
2500	503.8667
28100	NaN
53700	13193.1000
6600	75.5000
32200	NaN
57800	NaN
10700	NaN
36300	2669.6667
14800	196.1000
40400	NaN
18900	NaN
44500	NaN
23000	576.5000
48600	8436.7000
1500	368.5333
27100	NaN
52700	NaN
5600	NaN
31200	679.7000
56800	NaN
9700	NaN
35300	NaN
13800	767.3000
39400	NaN
17900	NaN
43500	NaN
22000	1152.4000
47600	NaN
500	212.0000
26100	NaN
51700	NaN
4600	NaN
30200	NaN
55800	NaN
8700	NaN
34300	2727.8000
12800	NaN
38400	NaN
16900	564.9000
42500	NaN
21000	NaN
46600	NaN
25100	NaN
50700	NaN
3600	520.3000
29200	NaN
54800	402.8000
7700	NaN
33300	NaN
58900	8393.4000
11800	584.6000
37400	NaN
15900	1028.2000
41500	NaN
20000	NaN
45600	NaN
24100	NaN
49700	234.7000
2600	370.8000
28200	NaN
53800	NaN
6700	931.0000
32300	NaN
57900	484.1500
10800	925.4000
36400	520.4500
14900	929.8000
40500	NaN
19000	NaN
44600	NaN
23100	688.8000
48700	3015.4500
1600	NaN
27200	NaN
52800	3844.2000
5700	766.2000
31300	NaN
56900	1810.2333
9800	NaN
35400	2432.9000
13900	NaN
39500	NaN
18000	NaN
43600	NaN
22100	NaN
47700	NaN
600	338.9500
26200	NaN
51800	NaN
4700	499.4333
30300	NaN
55900	NaN
8800	NaN
34400	NaN
12900	NaN
38500	NaN
17000	582.6000
42600	NaN
21100	NaN
46700	520.4000
25200	NaN
50800	NaN
3700	206.5000
29300	NaN
54900	NaN
7800	NaN
33400	NaN
59000	NaN
11900	493.2000
37500	1656.8000
16000	NaN
41600	1075.6500
20100	680.1000
45700	NaN
24200	NaN
49800	NaN
2700	454.3000
28300	NaN
53900	2204.7000
6800	NaN
32400	1153.6000
58000	479.0000
10900	855.0000
36500	NaN
15000	NaN
40600	1515.6000
19100	NaN
44700	NaN
23200	NaN
48800	NaN
1700	382.9000
27300	NaN
52900	NaN
5800	989.9000
31400	NaN
57000	NaN
9900	NaN
35500	NaN
14000	NaN
39600	NaN
18100	324.9000
43700	NaN
22200	NaN
47800	NaN
700	338.1000
26300	NaN
51900	668.6500
4800	468.9000
30400	NaN
56000	NaN
8900	2147.9500
34500	NaN
13000	NaN
38600	NaN
17100	NaN
42700	NaN
21200	NaN
46800	1480.0000
25300	NaN
50900	NaN
3800	238.6000
29400	NaN
55000	NaN
7900	NaN
33500	NaN
12000	NaN
37600	NaN
16100	NaN
41700	475.8000
20200	870.5000
45800	NaN
24300	NaN
49900	405.9000
2800	408.9000
28400	NaN
54000	NaN
6900	581.3500
32500	2651.3500
58100	549.5500
11000	NaN
36600	941.4500
15100	NaN
40700	2407.8000
19200	NaN
44800	NaN
23300	NaN
48900	NaN
1800	236.2000
27400	NaN
53000	NaN
5900	805.1000
31500	NaN
57100	3935.7500
10000	NaN
35600	3735.9000
14100	1033.9000
39700	NaN
18200	1413.6000
43800	3255.3000
22300	NaN
47900	NaN
800	232.6667
26400	NaN
52000	NaN
4900	NaN
30500	NaN
56100	182.5000
9000	NaN
34600	5489.2000
13100	NaN
38700	2416.4000
17200	NaN
42800	NaN
21300	NaN
46900	624.1000
25400	NaN
51000	NaN
3900	380.5000
29500	NaN
55100	690.3000
8000	1157.4000
33600	NaN
12100	1191.5000
37700	NaN
16200	NaN
41800	408.9000
20300	NaN
45900	11328.6000
24400	NaN
50000	NaN
2900	337.8000
28500	NaN
54100	NaN
7000	NaN
32600	477.8000
58200	NaN
11100	1122.1000
36700	NaN
15200	1622.5000
40800	11036.2000
19300	1364.2000
44900	NaN
23400	NaN
49000	NaN
1900	265.4000
27500	280.4000
53100	NaN
6000	849.1000
31600	NaN
57200	2397.3000
10100	NaN
35700	3879.8000
14200	NaN
39800	NaN
18300	541.4000
43900	NaN
22400	NaN
48000	NaN
900	376.8000
26500	1860.4000
52100	779.0000
5000	419.3333
30600	NaN
56200	NaN
9100	743.3000
34700	3517.0000
13200	NaN
38800	2527.5000
17300	NaN
42900	NaN
21400	NaN
47000	NaN
25500	1093.3000
51100	NaN
4000	NaN
29600	NaN
55200	NaN
8100	NaN
33700	NaN
12200	762.9000
37800	700.9000
